source;target;weight
bourgris;a-00;1
a-00;skinnerua;1
ischia;a-00;1
daniamurashov;adivanov2009;1
nik221107;adivanov2009;1
trelynn17;franklin14532;1
capa_jr;daniel_likes_chess;1
daniel_likes_chess;soultego;1
ehabfanri;daniel_likes_chess;1
daniel_likes_chess;mirco25;1
daniel_likes_chess;anaissac;1
daniel_likes_chess;subham777;1
daniel_likes_chess;roman12342005;1
daniel_likes_chess;alkhan;1
shivangithegenius;sureka_akshat;1
sureka_akshat;shivangithegenius;1
shivangithegenius;sureka_akshat;1
sureka_akshat;shivangithegenius;1
shivangithegenius;slam_ment;1
g-ios;shivangithegenius;1
shivangithegenius;lex_v1;1
shivangithegenius;themannichreaction;1
storm28rus;shivangithegenius;1
robotsmoke;shivangithegenius;1
shivangithegenius;ivangonzalez123;1
shivangithegenius;sureka_akshat;1
gmcarlsen403;shivangithegenius;1
mannat1;shivangithegenius;1
shivangithegenius;biyanivedant01;1
shivangithegenius;chinmaysharma;1
biyanivedant01;shivangithegenius;1
rv0209;shivangithegenius;1
vihaandumir;shivangithegenius;1
shivangithegenius;shamlanaseer;1
medovich;shivangithegenius;1
shivangithegenius;sorethea;1
rico21;shivangithegenius;1
shivangithegenius;jojo58;1
jojo58;shivangithegenius;1
rajuppi;shivangithegenius;1
white_queen_1990;shivangithegenius;1
milestretch;shivangithegenius;1
stephen789;shivangithegenius;1
rajuppi;shivangithegenius;1
hmbrgr;shivangithegenius;1
jjwrchess;shivangithegenius;1
shivangithegenius;jjwrchess;1
adnanraj;shivangithegenius;1
rajuppi;shivangithegenius;1
rajuppi;shivangithegenius;1
shivangithegenius;balkarec;1
lucasimeon;shivangithegenius;1
shivangithegenius;lucasimeon;1
lucasimeon;shivangithegenius;1
wing175;gerfsh;1
caramiecho72;gerfsh;1
mazyaraghgmail;wpc96;1
anrk;wpc96;1
wpc96;tbaruel;1
acahn;wpc96;1
iskendermyucel;oldpaths;1
oldpaths;david1488;1
oldpaths;lc777;1
jordanfury;oldpaths;1
porquepepe;oldpaths;1
gio1212;oldpaths;1
oldpaths;rubberchicken04;1
berejokserg;oldpaths;1
oldpaths;trump216bc;1
oldpaths;efer003;1
oldpaths;fcolpo;1
chesschumpchamp;oldpaths;1
aminox;oldpaths;1
oldpaths;sale0706;1
redar1;oldpaths;1
oldpaths;insequitur;1
oldpaths;tb-123;1
tb-123;oldpaths;1
oldpaths;iris_foxspring;1
zoro55;oldpaths;1
oldpaths;geburah;1
oldpaths;urmil007;1
serai;oldpaths;1
allahdeweswin;oldpaths;1
oldpaths;antoniogallero;1
oldpaths;matheuswillx;1
